City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
323,pechora,65.1472,57.2244,11.7,65,100,2.25,RU,1687974751
324,luau,-10.7073,22.2247,21.74,27,1,0.95,AO,1687974752
325,kawambwa,-9.7915,29.0791,18.3,49,17,1.42,ZM,1687974752
326,yelizovo,53.1873,158.3805,10.08,100,75,1.0,RU,1687974752
327,saint-joseph,-21.3667,55.6167,19.21,75,26,3.02,RE,1687974752
328,nagqu,31.5,92.0,6.44,85,100,0.95,CN,1687974752
329,fort mcmurray,56.7268,-111.381,26.77,44,0,3.09,CA,1687974488
330,dalandzadgad,43.5708,104.425,20.4,19,10,4.79,MN,1687974753
331,kill devil hills,36.0307,-75.676,29.0,73,0,5.14,US,1687974753
332,znamenskoye,57.1281,73.8282,12.1,71,94,3.64,RU,1687974753
333,mazamari,-11.3258,-74.5308,31.73,44,40,0.92,PE,1687974753
334,la'ie,21.6477,-157.9253,26.17,75,20,1.79,US,1687974754
335,birao,10.2849,22.7882,30.58,46,99,1.98,CF,1687974754
336,chui,-33.6971,-53.4616,15.26,53,52,4.79,UY,1687974754
337,klyuchi,52.2667,79.1667,14.57,75,83,7.18,RU,1687974754
338,ambodifotatra,-16.9833,49.85,23.51,69,36,4.82,MG,1687974755
339,gadzhiyevo,69.2551,33.3362,8.86,83,77,6.71,RU,1687974755
340,embrun,44.5639,6.4953,23.17,76,59,1.71,FR,1687974755
341,inhambane,-23.865,35.3833,21.99,83,40,3.13,MZ,1687974755
342,hobyo,5.3505,48.5268,25.58,82,93,11.64,SO,1687974756
343,swift current,50.2834,-107.8014,22.45,53,20,6.17,CA,1687974756
344,hidalgo,20.5,-99.0,24.82,38,18,4.35,MX,1687974756
345,cannonvale,-20.2833,148.7,20.66,82,13,1.6,AU,1687974756
346,queenstown,-31.8976,26.8753,9.93,75,69,4.06,ZA,1687974757
347,hasaki,35.7333,140.8333,24.56,94,97,4.5,JP,1687974757
348,kristiansund,63.1115,7.732,19.03,67,0,3.09,NO,1687974757
349,kapuskasing,49.4169,-82.4331,20.05,26,20,2.06,CA,1687974757
350,ambon,-3.6954,128.1814,28.26,79,40,3.09,ID,1687974757
351,vitry-le-francois,48.7333,4.5833,26.23,59,11,2.85,FR,1687974758
352,maceio,-9.6658,-35.7353,25.69,83,100,2.06,BR,1687974716
353,zhangatas,43.5667,69.75,20.22,35,19,3.83,KZ,1687974758
354,vorgashor,67.5833,63.95,7.79,58,41,3.98,RU,1687974758
355,saint-pierre,-21.3393,55.4781,19.82,68,20,3.6,RE,1687974758
356,brisas de zicatela,15.8369,-97.0419,30.15,68,100,2.97,MX,1687974759
357,afaahiti,-17.75,-149.2833,25.93,82,44,8.33,PF,1687974759
358,ponta delgada,37.7333,-25.6667,25.4,69,20,4.12,PT,1687974759
359,longyearbyen,78.2186,15.6401,7.91,81,75,4.12,SJ,1687974759
360,nanao,37.05,136.9667,22.93,95,73,3.2,JP,1687974759
